Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Copy Contract - RBU,Chrome 150.0.7871.128,,,21-07-2026 09:17:26,21-07-2026 09:23:38,6m - 12.550s,PASSED
,,,,,,,
Test Cases/Pilar 1/Copy Contract/UAT/RBU/SPV-RBU-Assign-Staff,Chrome 150.0.7871.128,,,21-07-2026 09:17:26,21-07-2026 09:18:17,50.722s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-RBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.128,,,21-07-2026 09:17:26,21-07-2026 09:18:03,36.501s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b3-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:03,21-07-2026 09:18:07,3.507s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b4-l1-26_4-b1-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:07,21-07-2026 09:18:07,0.567s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/a_Copy Contract""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:07,21-07-2026 09:18:07,0.331s,PASSED
"setText(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/input_b3-b1-b1-Input_StartDate""), ""10-10-2020"")",Chrome 150.0.7871.128,,,21-07-2026 09:18:07,21-07-2026 09:18:10,2.937s,PASSED
"setText(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/input_b3-b1-b1-Input_StartDate2""), ""10-12-2020"")",Chrome 150.0.7871.128,,,21-07-2026 09:18:10,21-07-2026 09:18:11,0.595s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/select_b3-b1-b1-DropdownCabang""), ""4"", false)",Chrome 150.0.7871.128,,,21-07-2026 09:18:11,21-07-2026 09:18:12,0.578s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/select_b3-b1-b1-DropdownStatus""), ""0"", false)",Chrome 150.0.7871.128,,,21-07-2026 09:18:12,21-07-2026 09:18:12,0.555s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/button_Cari""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:12,21-07-2026 09:18:12,0.310s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/input_b3-b1-l1_0-239_0-Checkbox2""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:12,21-07-2026 09:18:13,0.934s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/button_Assign""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:13,21-07-2026 09:18:14,0.324s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/button_Assign_popup""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:14,21-07-2026 09:18:14,0.640s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/select_b3-b1-b1-DropdownStatus""), ""1"", false)",Chrome 150.0.7871.128,,,21-07-2026 09:18:14,21-07-2026 09:18:16,2.191s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/SPV-CBU-Assign-Staff/Page_PengirimanCopyContract/button_Cari""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:16,21-07-2026 09:18:17,0.300s,PASSED
,,,,,,,
Test Cases/Pilar 1/Copy Contract/UAT/RBU/Staff-RBU-Submit-Task,Chrome 150.0.7871.128,,,21-07-2026 09:18:17,21-07-2026 09:19:33,1m - 16.034s,PASSED
"DATA BINDING - {""(Default) Lorem"":""C:\\Users\\PPU\\Downloads\\Tester File\\Lorem1_PDF.pdf""}",,,,,,,
"callTestCase(findTestCase(""Pilar 1/Login/UAT/Staff-RBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.128,,,21-07-2026 09:18:17,21-07-2026 09:18:56,38.833s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_Dashboard/div_b2-l1-16_3-b3-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:56,21-07-2026 09:18:59,3.015s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_Dashboard/div_b2-l1-16_3-b4-l1-23_4-b1-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:59,21-07-2026 09:18:59,0.545s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_Dashboard/a_Copy Contract""))",Chrome 150.0.7871.128,,,21-07-2026 09:18:59,21-07-2026 09:19:00,0.345s,PASSED
"setText(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContract/input_b3-b2-b1-Input_StartDate""), ""21-07-2026"")",Chrome 150.0.7871.128,,,21-07-2026 09:19:00,21-07-2026 09:19:03,2.786s,PASSED
"setText(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContract/input_b3-b2-b1-Input_StartDate2""), ""21-07-2026"")",Chrome 150.0.7871.128,,,21-07-2026 09:19:03,21-07-2026 09:19:03,0.592s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContract/select_b3-b2-b1-Dropdown3""), ""0"", false)",Chrome 150.0.7871.128,,,21-07-2026 09:19:03,21-07-2026 09:19:04,0.559s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContract/button_Cari""))",Chrome 150.0.7871.128,,,21-07-2026 09:19:04,21-07-2026 09:19:04,0.310s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContract/button_Pemeriksaan""))",Chrome 150.0.7871.128,,,21-07-2026 09:19:04,21-07-2026 09:19:05,0.673s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContractDetail/input_b3-b2-l4_0-194_0-Input_PICPengiriman""))",Chrome 150.0.7871.128,,,21-07-2026 09:19:05,21-07-2026 09:19:06,1.644s,PASSED
"setText(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContractDetail/input_b3-b2-b16-Input_NamaKaryawan""), ""Fatimah AZ"")",Chrome 150.0.7871.128,,,21-07-2026 09:19:06,21-07-2026 09:19:07,0.950s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContractDetail/button_Cari""))",Chrome 150.0.7871.128,,,21-07-2026 09:19:07,21-07-2026 09:19:08,0.307s,PASSED
"click(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContractDetail/button_Pilih""))",Chrome 150.0.7871.128,,,21-07-2026 09:19:08,21-07-2026 09:19:08,0.651s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Copy Contract/UAT/CBU/Staff-CBU-Submit-Task/Page_PengirimanCopyContractDetail/select_b3-b2-l4_0-194_0-Dropdown2""), ""2"", false)",Chrome 150.0.7871.128,,,21-07-2026 09:19:08,21-07-2026 09:19:09,0.580s,PASSED
