Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kunjungan Showroom - CBU,Chrome 150.0.7871.128,,,21-07-2026 16:01:16,21-07-2026 16:08:17,7m - 1.316s,PASSED
,,,,,,,
Test Cases/Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff,Chrome 150.0.7871.128,,,21-07-2026 16:01:16,21-07-2026 16:02:15,59.158s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-CBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.128,,,21-07-2026 16:01:17,21-07-2026 16:01:52,35.360s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b3-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 16:01:52,21-07-2026 16:01:57,5.175s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b4-l1-26_4-b1-SubMenuHeader""))",Chrome 150.0.7871.128,,,21-07-2026 16:01:57,21-07-2026 16:01:58,0.549s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/a_Showroom_Supplier""))",Chrome 150.0.7871.128,,,21-07-2026 16:01:58,21-07-2026 16:01:58,0.310s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/input_StartDate""), ""01-01-2023"")",Chrome 150.0.7871.128,,,21-07-2026 16:01:58,21-07-2026 16:02:03,4.592s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/input__EndDate""), ""31-03-2023"")",Chrome 150.0.7871.128,,,21-07-2026 16:02:03,21-07-2026 16:02:03,0.603s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/select_b3-b1-b1-Dropdown1""), ""2"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:02:03,21-07-2026 16:02:04,0.570s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/select_b3-b1-b1-Dropdown3""), ""0"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:02:04,21-07-2026 16:02:04,0.541s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/button_Cari""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:04,21-07-2026 16:02:05,0.320s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/button_Cek Jarak_1""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:05,21-07-2026 16:02:06,1.066s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/input_Checkbox2_ChecklistAssign""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:06,21-07-2026 16:02:07,0.941s,PASSED
delay(5),Chrome 150.0.7871.128,,,21-07-2026 16:02:07,21-07-2026 16:02:12,5.019s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/button_Assign""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:12,21-07-2026 16:02:12,0.321s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/select_b3-b1-b4-Dropdown1""), ""0"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:02:12,21-07-2026 16:02:13,0.918s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/button_Assign_1""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:13,21-07-2026 16:02:13,0.352s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/select_b3-b1-b1-Dropdown3""), ""1"", false)",Chrome 150.0.7871.128,,,21-07-2026 16:02:13,21-07-2026 16:02:15,1.708s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/button_Cari""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:15,21-07-2026 16:02:15,0.317s,PASSED
,,,,,,,
Test Cases/Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task,Chrome 150.0.7871.128,,,21-07-2026 16:02:15,21-07-2026 16:03:41,1m - 25.908s,PASSED
"DATA BINDING - {""(Default) Lorem"":""C:\\Users\\PPU\\Downloads\\Tester File\\Lorem1_PDF.pdf""}",,,,,,,
"callTestCase(findTestCase(""Pilar 1/Login/UAT/Mobile/Staff-MCBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.128,,,21-07-2026 16:02:15,21-07-2026 16:02:38,23.012s,PASSED
"waitForElementVisible(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_Home/div_HomeStaff""), 5)",Chrome 150.0.7871.128,,,21-07-2026 16:02:38,21-07-2026 16:02:43,4.303s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_Home/span_Kunjungan Showroom""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:43,21-07-2026 16:02:43,0.298s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/input_TextSearch""), ""CBU/P1.3/07/26/014"")",Chrome 150.0.7871.128,,,21-07-2026 16:02:43,21-07-2026 16:02:43,0.002s,NOT_RUN
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/div_IconSearch""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:43,21-07-2026 16:02:43,0.004s,NOT_RUN
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/div_KUNJUNGAN SHOWROOMCBU_P1.3_07_26_011""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:43,21-07-2026 16:02:44,0.883s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomDetail/input_b3-Checkbox1""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:44,21-07-2026 16:02:45,0.963s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomDetail/button_Survey""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:45,21-07-2026 16:02:47,2.122s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_FormFotoKunjungan""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:47,21-07-2026 16:02:48,1.122s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto1""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:48,21-07-2026 16:02:48,0.371s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_kamera1""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:48,21-07-2026 16:02:49,0.412s,PASSED
"switchToWindowTitle(""KunjunganShowroomQuestionAnswer"")",Chrome 150.0.7871.128,,,21-07-2026 16:02:49,21-07-2026 16:02:49,0.058s,PASSED
delay(5),Chrome 150.0.7871.128,,,21-07-2026 16:02:49,21-07-2026 16:02:54,5.008s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Sesuai_1""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:54,21-07-2026 16:02:56,1.734s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto2""))",Chrome 150.0.7871.128,,,21-07-2026 16:02:56,21-07-2026 16:02:56,0.598s,PASSED
delay(7),Chrome 150.0.7871.128,,,21-07-2026 16:02:56,21-07-2026 16:03:03,7.013s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Tidak Sesuai_1""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:03,21-07-2026 16:03:04,0.356s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto3""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:04,21-07-2026 16:03:04,0.653s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_kamera3""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:04,21-07-2026 16:03:05,0.350s,PASSED
"switchToWindowTitle(""KunjunganShowroomQuestionAnswer"")",Chrome 150.0.7871.128,,,21-07-2026 16:03:05,21-07-2026 16:03:05,0.026s,PASSED
delay(5),Chrome 150.0.7871.128,,,21-07-2026 16:03:05,21-07-2026 16:03:10,5.007s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Sesuai_2""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:10,21-07-2026 16:03:10,0.320s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Ambil Foto_4""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:10,21-07-2026 16:03:11,0.546s,PASSED
delay(5),Chrome 150.0.7871.128,,,21-07-2026 16:03:11,21-07-2026 16:03:16,5.010s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/input_Tidak Sesuai_2""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:16,21-07-2026 16:03:16,0.358s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/Staff-MCBU-Submit-Task/Page_KunjunganShowroom/Page_KunjunganShowroomQuestionAnswer/div_Batal""))",Chrome 150.0.7871.128,,,21-07-2026 16:03:16,21-07-2026 16:03:16,0.005s,NOT_RUN
