Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kunjungan Showroom - RBU,Chrome 150.0.7871.129,,,22-07-2026 09:27:28,22-07-2026 09:34:47,7m - 19.024s,PASSED
,,,,,,,
Test Cases/Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff,Chrome 150.0.7871.129,,,22-07-2026 09:27:29,22-07-2026 09:28:30,1m - 1.163s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-RBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.129,,,22-07-2026 09:27:29,22-07-2026 09:28:05,35.913s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b3-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:05,22-07-2026 09:28:12,7.024s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b4-l1-26_4-b1-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:12,22-07-2026 09:28:13,0.562s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/a_Showroom_Supplier""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:13,22-07-2026 09:28:13,0.302s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/input_StartDate""), ""01-01-2024"")",Chrome 150.0.7871.129,,,22-07-2026 09:28:13,22-07-2026 09:28:19,6.097s,PASSED
"setText(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/input_EndDate""), ""31-03-2024"")",Chrome 150.0.7871.129,,,22-07-2026 09:28:19,22-07-2026 09:28:20,0.598s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/select_Dropdown Branch""), ""4"", false)",Chrome 150.0.7871.129,,,22-07-2026 09:28:20,22-07-2026 09:28:20,0.592s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/select_b3-b1-b1-Dropdown3""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 09:28:20,22-07-2026 09:28:21,0.566s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:21,22-07-2026 09:28:21,0.315s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/button_Cek Jarak""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:21,22-07-2026 09:28:22,1.019s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/input_b3-b1-l1_0-236_0-Checkbox2""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:22,22-07-2026 09:28:23,0.757s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/button_Assign""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:23,22-07-2026 09:28:23,0.338s,PASSED
"click(findTestObject(""Pilar 1/Showroom-Supplier/UAT/RBU/SPV_RBU_Assign_Staff/Page_KunjunganShowroom/button_Assign_PopUp""))",Chrome 150.0.7871.129,,,22-07-2026 09:28:23,22-07-2026 09:28:24,0.766s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Showroom-Supplier/UAT/CBU/SPV-CBU-Assign-Staff/Page_KunjunganShowroom/select_b3-b1-b1-Dropdown3""), ""1"", false)",Chrome 150.0.7871.129,,,22-07-2026 09:28:24,22-07-2026 09:28:25,1.362s,PASSED
