Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Dokumen Go Live - CBU,Chrome 150.0.7871.129,,,22-07-2026 10:56:48,22-07-2026 11:11:34,14m - 46.393s,PASSED
,,,,,,,
Test Cases/Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff,Chrome 150.0.7871.129,,,22-07-2026 10:56:48,22-07-2026 10:57:58,1m - 9.658s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-CBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.129,,,22-07-2026 10:56:49,22-07-2026 10:57:24,35.105s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b3-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:24,22-07-2026 10:57:27,3.367s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b4-l1-26_4-b1-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:27,22-07-2026 10:57:28,1.375s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/a_Dokumen Golive""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:28,22-07-2026 10:57:29,0.335s,PASSED
"verifyElementText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/label_Tanggal Go Live _""), ""Tanggal Go Live :"")",Chrome 150.0.7871.129,,,22-07-2026 10:57:29,22-07-2026 10:57:31,2.541s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/input_b3-b1-b1-Input_StartDate""), ""01-01-2024"")",Chrome 150.0.7871.129,,,22-07-2026 10:57:31,22-07-2026 10:57:32,1.150s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/input_b3-b1-b1-Input_StartDate2""), ""31-03-2024"")",Chrome 150.0.7871.129,,,22-07-2026 10:57:32,22-07-2026 10:57:33,0.597s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/select_b3-b1-b1-Dropdown1""), ""2"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:57:33,22-07-2026 10:57:34,0.591s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/select_b3-b1-b1-Dropdown3""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:57:34,22-07-2026 10:57:34,0.554s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:34,22-07-2026 10:57:34,0.319s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/button_View Detail_2""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:34,22-07-2026 10:57:35,0.773s,PASSED
delay(7),Chrome 150.0.7871.129,,,22-07-2026 10:57:35,22-07-2026 10:57:42,7.006s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/button_Back_2""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:42,22-07-2026 10:57:43,0.312s,PASSED
delay(4),Chrome 150.0.7871.129,,,22-07-2026 10:57:43,22-07-2026 10:57:47,4.006s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/input_Assign_Checkbox2""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:47,22-07-2026 10:57:47,0.323s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/tambahan-component/Page_KelengkapanKredit/button_Assign""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:47,22-07-2026 10:57:47,0.309s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/tambahan-component/Page_KelengkapanKredit/select_Select Staff_popup""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:57:47,22-07-2026 10:57:48,0.868s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/tambahan-component/Page_KelengkapanKredit/button_Assign_popup""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:48,22-07-2026 10:57:48,0.317s,PASSED
delay(3),Chrome 150.0.7871.129,,,22-07-2026 10:57:48,22-07-2026 10:57:51,3.024s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/select_b3-b1-b1-Dropdown3""), ""1"", false)",Chrome 150.0.7871.129,,,22-07-2026 10:57:51,22-07-2026 10:57:54,2.992s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 10:57:54,22-07-2026 10:57:55,0.327s,PASSED
delay(3),Chrome 150.0.7871.129,,,22-07-2026 10:57:55,22-07-2026 10:57:58,3.022s,PASSED
,,,,,,,
Test Cases/Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Dokumen-Persyaratan-Kredit,Chrome 150.0.7871.129,,,22-07-2026 10:57:58,22-07-2026 11:00:22,2m - 24.466s,PASSED
"DATA BINDING - {""(Default) Lorem"":""C:\\Users\\PPU\\Downloads\\Tester File\\Lorem1_PDF.pdf""}",,,,,,,
