Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Dokumen Go Live - RBU,Chrome 150.0.7871.129,,,22-07-2026 13:40:59,22-07-2026 13:54:58,13m - 58.283s,PASSED
,,,,,,,
Test Cases/Pilar 1/Dokumen Go Live/UAT/RBU/SPV-RBU-Assign-Staff,Chrome 150.0.7871.129,,,22-07-2026 13:41:00,22-07-2026 13:42:11,1m - 11.725s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/SPV-RBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.129,,,22-07-2026 13:41:00,22-07-2026 13:41:37,37.128s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b3-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 13:41:37,22-07-2026 13:41:43,5.383s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/div_b2-l1-17_8-b4-l1-26_4-b1-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 13:41:43,22-07-2026 13:41:43,0.553s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_Dashboard/a_Dokumen Golive""))",Chrome 150.0.7871.129,,,22-07-2026 13:41:43,22-07-2026 13:41:43,0.332s,PASSED
"verifyElementText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/label_Tanggal Go Live _""), ""Tanggal Go Live :"")",Chrome 150.0.7871.129,,,22-07-2026 13:41:43,22-07-2026 13:41:46,2.555s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/input_b3-b1-b1-Input_StartDate""), ""10-10-2020"")",Chrome 150.0.7871.129,,,22-07-2026 13:41:46,22-07-2026 13:41:47,0.619s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/input_b3-b1-b1-Input_StartDate2""), ""10-12-2020"")",Chrome 150.0.7871.129,,,22-07-2026 13:41:47,22-07-2026 13:41:47,0.594s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/select_b3-b1-b1-Dropdown1""), ""4"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:41:47,22-07-2026 13:41:48,0.585s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/select_b3-b1-b1-Dropdown3""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:41:48,22-07-2026 13:41:48,0.550s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 13:41:48,22-07-2026 13:41:49,0.326s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/tambahan-component/Page_KelengkapanKredit/Page_KelengkapanKredit/button_View Detail""))",Chrome 150.0.7871.129,,,22-07-2026 13:41:49,22-07-2026 13:41:49,0.790s,PASSED
delay(7),Chrome 150.0.7871.129,,,22-07-2026 13:41:49,22-07-2026 13:41:56,7.018s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/tambahan-component/Page_KelengkapanKredit/Page_KelengkapanKreditDetail/button_Back""))",Chrome 150.0.7871.129,,,22-07-2026 13:41:56,22-07-2026 13:41:57,0.304s,PASSED
delay(4),Chrome 150.0.7871.129,,,22-07-2026 13:41:57,22-07-2026 13:42:01,4.014s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/input_b3-b1-l1_0-241_0-Checkbox2""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:01,22-07-2026 13:42:01,0.333s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/tambahan-component/Page_KelengkapanKredit/button_Assign""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:01,22-07-2026 13:42:01,0.344s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/tambahan-component/Page_KelengkapanKredit/button_Assign_popup""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:01,22-07-2026 13:42:02,0.641s,PASSED
delay(3),Chrome 150.0.7871.129,,,22-07-2026 13:42:02,22-07-2026 13:42:05,3.015s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/select_b3-b1-b1-Dropdown3""), ""1"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:42:05,22-07-2026 13:42:08,2.873s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/SPV-CBU-Assign-Staff/Page_KelengkapanKredit/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:08,22-07-2026 13:42:08,0.306s,PASSED
delay(3),Chrome 150.0.7871.129,,,22-07-2026 13:42:08,22-07-2026 13:42:11,3.004s,PASSED
,,,,,,,
Test Cases/Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Submit-Dokumen-Persyaratan-Kredit,Chrome 150.0.7871.129,,,22-07-2026 13:42:11,22-07-2026 13:43:40,1m - 28.446s,PASSED
"DATA BINDING - {""(Default) Lorem"":""C:\\Users\\PPU\\Downloads\\Tester File\\Lorem1_PDF.pdf""}",,,,,,,
today = SimpleDateFormat(dd-MM-yyyy).format(new java.util.Date()),Chrome 150.0.7871.129,,,22-07-2026 13:42:12,22-07-2026 13:42:12,0.021s,PASSED
"callTestCase(findTestCase(""Pilar 1/Login/UAT/Staff-RBU""), [:], STOP_ON_FAILURE)",Chrome 150.0.7871.129,,,22-07-2026 13:42:12,22-07-2026 13:42:48,36.511s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_Dashboard/div_b2-l1-16_3-b3-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:48,22-07-2026 13:42:52,3.517s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_Dashboard/div_b2-l1-16_3-b4-l1-23_4-b1-SubMenuHeader""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:52,22-07-2026 13:42:52,0.548s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_Dashboard/a_Dokumen Golive""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:52,22-07-2026 13:42:52,0.297s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/input_b3-b2-b1-Input_StartDate""), ""22-07-2026"")",Chrome 150.0.7871.129,,,22-07-2026 13:42:52,22-07-2026 13:42:55,2.134s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/input_b3-b2-b1-Input_StartDate2""), ""22-07-2026"")",Chrome 150.0.7871.129,,,22-07-2026 13:42:55,22-07-2026 13:42:55,0.604s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/select_b3-b2-b1-Dropdown3""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:42:55,22-07-2026 13:42:56,0.548s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/button_Cari""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:56,22-07-2026 13:42:56,0.305s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/action""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:56,22-07-2026 13:42:57,0.751s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/CBU/Staff-CBU-Submit-Task/Dokumen-Persyaratan-Kredit/Page_KelengkapanKredit/div_Pemeriksaan""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:57,22-07-2026 13:42:57,0.542s,PASSED
"click(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/i_icon accordion-perorangan""))",Chrome 150.0.7871.129,,,22-07-2026 13:42:57,22-07-2026 13:43:01,3.244s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_0-""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:01,22-07-2026 13:43:01,0.609s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_0-_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:01,22-07-2026 13:43:02,0.536s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/textarea_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 13:43:02,22-07-2026 13:43:02,0.712s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_1-""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:02,22-07-2026 13:43:03,0.765s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_1-_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:03,22-07-2026 13:43:04,0.561s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/textarea_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267__1""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 13:43:04,22-07-2026 13:43:04,0.691s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_2-""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:04,22-07-2026 13:43:05,0.788s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_2-_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:05,22-07-2026 13:43:06,0.548s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/textarea_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267__2""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 13:43:06,22-07-2026 13:43:06,0.716s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_3-""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:06,22-07-2026 13:43:07,0.763s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_3-_1""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:07,22-07-2026 13:43:08,0.568s,PASSED
"setText(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/textarea_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267__3""), ""testing"")",Chrome 150.0.7871.129,,,22-07-2026 13:43:08,22-07-2026 13:43:09,0.714s,PASSED
"selectOptionByValue(findTestObject(""Pilar 1/Dokumen Go Live/UAT/RBU/Staff-RBU-Dokumen-Persyaratan-Kredit/Page_DokumenChecking/select_b3-l2-180_0-b8-b1-l1-266_0-b1-l4_0-267_4-""), ""0"", false)",Chrome 150.0.7871.129,,,22-07-2026 13:43:09,22-07-2026 13:43:09,0.769s,PASSED
